Document,Primary Introducer,Status,Description,Document ID,Year
LB434,Avery,Final Reading,Change late filing fees under the Nebraska Political Accountability and Disclosure Act ,740,2007
LB435,Raikes,Final Reading,Provide for a study relating to the Nebraska State Fairgrounds ,659,2007
LB436,Raikes,Indefinitely postponed,"Change income tax calculations, rates, and schedules and eliminate certain itemized deductions and taxes",556,2007
LB437,Cornett,Indefinitely postponed,Change provisions relating to issuance of specialty and personalized license plates,50,2007
LB438,McDonald,Indefinitely postponed,Appropriate funds to the Board of Regents of the University of Nebraska,623,2007
LB439,Raikes,Indefinitely postponed,Create the Highway Finance Task Force,840,2007
LB440,Preister,Indefinitely postponed,Change and eliminate provisions relating to learning communities,126,2007
LB441,McDonald,Final Reading,Change liquor shipping license fee distribution and provide an excise tax on grapes,406,2007
LB441A,McDonald,Final Reading,Appropriations bill,1352,2007
LB442,Stuthman,Indefinitely postponed,Redefine animal life for sales tax purposes,947,2007
LB443,Stuthman,Indefinitely postponed,Authorize transportation development districts and authorize a local sales tax,263,2007
LB444,Stuthman,Indefinitely postponed,Change provisions relating to the renewable energy tax credit,961,2007
LB445,Stuthman,Final Reading,Provide qualifications and certification requirements for certain persons under the Commission for the Blind and Visually Impaired Act,885,2007
LB446,Stuthman,Indefinitely postponed,Require Department of Roads to let contracts for the construction of a Platte River bridge and for highway improvements,873,2007
LB447,Stuthman,Indefinitely postponed,Require the Department of Roads to conduct a feasibility study for a Platte River bridge,1020,2007
LB448,Ashford,Indefinitely postponed,Change limitation of action provisions under the Political Subdivisions Tort Claims Act,474,2007
LB449,Ashford,Final Reading,Change provisions on how judicial records are proved,1060,2007
LB450,Ashford,Indefinitely postponed,Provide immunity for employer disclosure of certain employee information,200,2007
LB451,Nantkes,Indefinitely postponed,Change provisions relating to release of patient information by a pharmacist,769,2007
LB452,Burling,Indefinitely postponed,Appropriate funds for drug abuse prevention and education programs,441,2007
LB453,White,Indefinitely postponed,Provide an income tax credit for property taxes,814,2007
LB454,White,Indefinitely postponed,Change homestead exemption provisions,736,2007
LB455,White,Indefinitely postponed,Allow school districts to exceed applicable allowable growth rate  for increased energy or insurance costs,325,2007
LB456,White,Select File,Provide an income tax credit for franchise taxes paid by certain financial institutions,379,2007
LB457,Hansen,Final Reading,Require a caregiver information form for foster care proceedings ,907,2007
LB458,Carlson,Indefinitely postponed,Require vegetation management in certain streams,857,2007
LB459,Gay,Indefinitely postponed,Allow an income tax deduction for interest on education loans,841,2007
LB460,Lathrop,Indefinitely postponed,Change provisions relating to presidential primary elections and political parties,744,2007
LB461,Dubas,Indefinitely postponed,Provide for policies and procedures relating to foster care,1032,2007
LB462,Dubas,Indefinitely postponed,Change workers' compensation provisions covering disability payments during vocational rehabilitation,480,2007
LB463,Johnson,Final Reading,Adopt the Uniform Credentialing Act,1,2007
LB464,Chambers,Final Reading,Change enforcement provisions relating to the Campaign Finance Limitation Act and Nebraska Political Accountability and Disclosure Act,913,2007
LB465,Chambers,Passed,Change provisions relating to jailhouse informants,996,2007
LB466,Chambers,Indefinitely postponed,Provide for private party In Transit stickers,1035,2007
LB467,Chambers,Passed,Grant the Ombudsman authority with respect to county and municipal jails and mental health and veterans institutions and provide for appointment of an assistant public counsel,1034,2007
LB467A,Chambers,Passed,Appropriations bill,1744,2007
LB468,Chambers,Withdrawn,Provide duties to the Nebraska Investment Council regarding Sudan-related investments,1033,2007
LB469,Chambers,Passed,Change funding restrictions under the Nebraska Health Care Funding Act,836,2007
LB470,Chambers,Final Reading,Change provisions relating to dissemination of records of arrest,797,2007
LB470A,Chambers,Final Reading,Appropriations bill,1394,2007
LB471,Chambers,Final Reading,Authorize regulation of mixed martial arts by the State Athletic Commissioner,796,2007
LB472,Chambers,Final Reading,Change statutory references to members of the Commission of Industrial Relations,835,2007
LB473,Chambers,Indefinitely postponed,Change provisions relating to learning communities and Class V school district elections,692,2007
LB474,Chambers,Indefinitely postponed,"Provide for certain misconduct by school teachers, school nurses, and police officers to be a public record",631,2007
LB475,Chambers,Indefinitely postponed,Prohibit discrimination based upon sexual orientation or marital status,629,2007
LB475A,Chambers,Indefinitely postponed,Appropriations bill,2141,2007
LB476,Chambers,Indefinitely postponed,Change penalty from death to life imprisonment without possibility of parole and provide for restitution,630,2007
LB477,Wightman,Indefinitely postponed,Change contribution levels for state and political subdivision employee health plans,943,2007
LB478,Johnson,Indefinitely postponed,Change provisions relating to adoption procedures,757,2007
LB479,Johnson,Indefinitely postponed,Change provisions relating to audiologists and speech-language pathologists,934,2007
LB480,Johnson,Passed,Change provisions relating to the Nebraska Health Care Funding Act,788,2007
LB481,Johnson,Final Reading,Change criminal background check and examination requirements under the Uniform Licensing Law,863,2007
LB482,Johnson,Final Reading,Adopt the Autism Treatment Program Act,1015,2007
LB482A,Johnson,Final Reading,Appropriations bill,2835,2007
LB483,Johnson,Indefinitely postponed,Appropriate funds from the Nebraska Health Care Cash Fund for biomedical and autism research,1039,2007
LB484,McDonald,Indefinitely postponed,Change provisions relating to payment of tax proceeds to certain political subdivisions,960,2007
LB485,Louden,Withdrawn,Change tax levy provisions relating to fire protection districts,704,2007
LB486,McGill,Indefinitely postponed,Adopt the Local Community Rail Security and Employee Education Act,804,2007
LB487,Wallman,Indefinitely postponed,Authorize an income tax for support of schools,859,2007
LB488,Wallman,Indefinitely postponed,Authorize an income tax credit for perpetual conservation easement donations,838,2007
LB489,Harms,Indefinitely postponed,Change provisions relating to and require buses to have occupant protection systems,891,2007
LB490,Harms,Indefinitely postponed,Repeal the Seamless Delivery System Pilot Project,1046,2007
LB491,Harms,Indefinitely postponed,Change provisions relating to concealed handguns,879,2007
LB492,Harms,Indefinitely postponed,Adopt the Education Facilities State Aid Act and create the Education Facilities Review Board,939,2007
LB493,Langemeier,Indefinitely postponed,Change provisions relating to the Water Policy Task Force,906,2007
LB494,White,Indefinitely postponed,Change the sales and use tax exemption on manufacturing machinery and equipment,684,2007
LB495,White,Indefinitely postponed,Prohibit employers from requiring use of compensated leave as prescribed,1005,2007
LB496,White,Indefinitely postponed,Provide an income tax adjustment for extraordinary dividends,982,2007
LB497,White,Final Reading,Adopt the Family Military Leave Act,1013,2007
LB498,White,Indefinitely postponed,Adopt the Business Partnership in Rural Education Program Act,1003,2007
LB499,White,Indefinitely postponed,Change contributions for school retirement,709,2007
LB500,White,Passed,Change Employment Security Law provisions governing the experience account of employers,998,2007
LB501,Rogert,Indefinitely postponed,Provide for cigarette tax collection by direct sellers,839,2007
LB502,Mines,Final Reading,Change inheritance tax provisions,1026,2007
LB503,Mines,Indefinitely postponed,Change and provide requirements for vacancies on natural resource district boards of directors,760,2007
LB504,Mines,Select File,Prohibit hunting through the Internet,1077,2007
LB505,Mines,Indefinitely postponed,Change provisions of the Nebraska Wage Payment and Collection Act,686,2007
LB506,Friend,Indefinitely postponed,Provide an alternative method of reimbursement for special education and related services,790,2007
LB507,Burling,Indefinitely postponed,Change provisions relating to ethanol production incentive tax credits,988,2007
LB508,Pahls,Final Reading,Change provisions of the Judges Retirement Act and the School Employees Retirement Act,919,2007
LB509,Avery,Indefinitely postponed,Create the Scholarship Trust Fund,905,2007
LB510,Avery,Indefinitely postponed,Create a homestead exemption and the Scholarship Trust Fund,990,2007
LB511,Avery,Indefinitely postponed,Change valuation of agricultural land and create a homestead exemption,904,2007
LB512,Fulton,Indefinitely postponed,Provide income tax credits,1002,2007
LB513,Fulton,Indefinitely postponed,Provide billing requirements for anatomic pathology services,946,2007
LB514,Fulton,Indefinitely postponed,Provide an income tax credit for employer contributions to employee long-term care insurance,893,2007
LB515,Stuthman,Indefinitely postponed,Change county planning commission provisions relating to livestock operations,955,2007
LB516,Agriculture Committee ,Final Reading,Authorize a study with respect to corporate farming and agricultural production in Nebraska,881,2007
LB516A,Erdman,Final Reading,Appropriations bill,2692,2007
LB517,Erdman,Indefinitely postponed,Provide for the consolidation of one or more cities of the first class,742,2007
LB518,Howard,Indefinitely postponed,Change provisions relating to the eligibility of children under the Medical Assistance Act,895,2007
LB519,Howard,Indefinitely postponed,Require a review of property valuations,1072,2007
LB520,Howard,Indefinitely postponed,Create the Early Childhood Education Legislative Study Group,900,2007
LB521,Howard,Indefinitely postponed,Add classifications of students to be reported in the fall school district membership reports,679,2007
LB522,Aguilar,Indefinitely postponed,Change civil procedure costs and attorney's fees,1011,2007
LB523,Aguilar,Indefinitely postponed,Adopt the Quality Home Care Act,527,2007
LB524,Aguilar,Indefinitely postponed,Change provisions relating to school districts in annexed territory,371,2007
LB525,Aguilar,Indefinitely postponed,Modify provisions relating to liability involved in vehicular pursuits,123,2007
LB526,Aguilar,Indefinitely postponed,Change civil procedure plaintiff's costs,1010,2007
LB527,Aguilar,Final Reading,Provide registration fees for political committees and allow waiver of interest on late filing fees and penalties,915,2007
LB528,Aguilar,Indefinitely postponed,Change provisions relating to elections,864,2007
LB529,Nantkes,Indefinitely postponed,Create a mentor teacher supplemental compensation pilot project,924,2007
LB530,Nantkes,Final Reading,Change Storm Water Management Plan Program provisions,940,2007
